time,gc,lat,lon,date
1485630604,48,40.1095308,-88.2290983,1/28/2017 19:10
1485630626,42,40.10931,-88.2291123,1/28/2017 19:10
1485630627,41,40.1092965,-88.2291073,1/28/2017 19:10
1485630633,43,40.1092565,-88.2290993,1/28/2017 19:10
1485630634,42,40.1092406,-88.2291063,1/28/2017 19:10
1485630637,41,40.1092132,-88.2290956,1/28/2017 19:10
1485630665,52,40.1088545,-88.2290094,1/28/2017 19:11
1485630678,41,40.1086893,-88.2290483,1/28/2017 19:11
1485630679,42,40.1086688,-88.2290554,1/28/2017 19:11
1485630681,49,40.1086545,-88.2290558,1/28/2017 19:11
1485630686,44,40.1086124,-88.2290674,1/28/2017 19:11
1485630689,41,40.1085824,-88.2290782,1/28/2017 19:11
1485630709,42,40.1083905,-88.229084,1/28/2017 19:11
1485630761,41,40.1081794,-88.2289654,1/28/2017 19:12
1485630764,43,40.1081794,-88.2289654,1/28/2017 19:12
1485630818,44,40.1081794,-88.2289654,1/28/2017 19:13
1485630832,45,40.1081794,-88.2289654,1/28/2017 19:13
