time,gc,lat,lon,date
1486417733,61,40.1099577,-88.2284738,2/6/2017 21:48
1486417735,58,40.1099622,-88.2284526,2/6/2017 21:48
1486417738,61,40.1099555,-88.2284039,2/6/2017 21:48
1486418024,55,40.1099315,-88.2283085,2/6/2017 21:53
1486418026,68,40.1099167,-88.2283409,2/6/2017 21:53
1486418027,58,40.1099048,-88.2283606,2/6/2017 21:53
1486418028,76,40.1098992,-88.2283727,2/6/2017 21:53
1486418029,65,40.1098992,-88.2283727,2/6/2017 21:53
1486418031,68,40.1098936,-88.2283951,2/6/2017 21:53
1486418032,66,40.1098931,-88.2284209,2/6/2017 21:53
1486418033,56,40.1098978,-88.2284344,2/6/2017 21:53
1486418035,68,40.1099054,-88.2284442,2/6/2017 21:53
1486418036,58,40.109923,-88.2284531,2/6/2017 21:53
1486418037,58,40.109923,-88.2284531,2/6/2017 21:53
1486418039,57,40.1099369,-88.2284448,2/6/2017 21:53
1486418041,59,40.1099419,-88.2284325,2/6/2017 21:54
1486418042,58,40.1099482,-88.2284231,2/6/2017 21:54
1486418192,59,40.1098896,-88.228244,2/6/2017 21:56
