time,gc,lat,lon,date
1486391851,82,40.1122954,-88.2268761,2/6/2017 14:37
1486391852,83,40.1122954,-88.2268761,2/6/2017 14:37
1486391854,82,40.1122954,-88.2268761,2/6/2017 14:37
1486392339,102,40.1124332,-88.2269858,2/6/2017 14:45
1486393834,86,40.110767,-88.2252738,2/6/2017 15:10
1486393835,95,40.110767,-88.2252738,2/6/2017 15:10
1486393836,100,40.110767,-88.2252738,2/6/2017 15:10
1486393837,104,40.1107853,-88.225219,2/6/2017 15:10
1486393838,122,40.1107853,-88.225219,2/6/2017 15:10
1486393839,111,40.1107853,-88.225219,2/6/2017 15:10
1486393840,114,40.1107853,-88.225219,2/6/2017 15:10
1486393842,90,40.1107853,-88.225219,2/6/2017 15:10
1486393843,99,40.1107771,-88.2252436,2/6/2017 15:10
1486393845,104,40.1107771,-88.2252436,2/6/2017 15:10
1486393846,89,40.1107771,-88.2252436,2/6/2017 15:10
1486393849,80,40.1107865,-88.2252155,2/6/2017 15:10
1486393850,88,40.1107865,-88.2252155,2/6/2017 15:10
1486393851,80,40.1107865,-88.2252155,2/6/2017 15:10
1486393852,83,40.1107865,-88.2252155,2/6/2017 15:10
1486393853,79,40.1107865,-88.2252155,2/6/2017 15:10
1486393856,82,40.1107865,-88.2252155,2/6/2017 15:10
1486393858,85,40.1107865,-88.2252155,2/6/2017 15:10
1486393862,87,40.1107865,-88.2252155,2/6/2017 15:11
1486393863,84,40.1107865,-88.2252155,2/6/2017 15:11
1486393864,103,40.1107865,-88.2252155,2/6/2017 15:11
1486393865,87,40.1107865,-88.2252155,2/6/2017 15:11
1486393867,82,40.1107865,-88.2252155,2/6/2017 15:11
1486393869,83,40.1108041,-88.2250835,2/6/2017 15:11
1486393870,85,40.1108041,-88.2250835,2/6/2017 15:11
1486393871,90,40.1108541,-88.2251294,2/6/2017 15:11
1486393872,85,40.1108404,-88.2251322,2/6/2017 15:11
1486393980,92,40.1107502,-88.2254838,2/6/2017 15:13
1486393981,85,40.1107366,-88.2255018,2/6/2017 15:13
1486393983,102,40.1107366,-88.2255018,2/6/2017 15:13
1486393984,99,40.1107444,-88.2254716,2/6/2017 15:13
1486393985,90,40.110764,-88.2254513,2/6/2017 15:13
1486393986,101,40.110764,-88.2254513,2/6/2017 15:13
1486393987,105,40.1107823,-88.2253923,2/6/2017 15:13
1486393988,94,40.1107823,-88.2253923,2/6/2017 15:13
1486393989,96,40.1108019,-88.2253533,2/6/2017 15:13
1486393992,89,40.110833,-88.2253347,2/6/2017 15:13
1486393994,86,40.1108852,-88.2252957,2/6/2017 15:13
1486393995,82,40.1108882,-88.2252839,2/6/2017 15:13
1486393998,88,40.1108882,-88.2252839,2/6/2017 15:13
1486394000,90,40.110911,-88.2252409,2/6/2017 15:13
1486394002,95,40.110911,-88.2252409,2/6/2017 15:13
1486394003,85,40.1109377,-88.2252676,2/6/2017 15:13
1486394004,101,40.1109377,-88.2252676,2/6/2017 15:13
1486394005,120,40.1109512,-88.2253432,2/6/2017 15:13
1486394006,85,40.1109545,-88.2253807,2/6/2017 15:13
1486394007,82,40.1109545,-88.2253807,2/6/2017 15:13
1486394008,116,40.1109545,-88.2253807,2/6/2017 15:13
1486394009,109,40.1109545,-88.2253807,2/6/2017 15:13
1486394010,99,40.1109545,-88.2253807,2/6/2017 15:13
1486394011,131,40.1109545,-88.2253807,2/6/2017 15:13
1486394012,94,40.1109545,-88.2253807,2/6/2017 15:13
1486396283,86,40.1037571,-88.2299532,2/6/2017 15:51
1486396449,92,40.1074501,-88.2285073,2/6/2017 15:54
1486396450,80,40.1074576,-88.2285152,2/6/2017 15:54
1486396451,102,40.1074576,-88.2285152,2/6/2017 15:54
1486396452,90,40.1074576,-88.2285152,2/6/2017 15:54
1486396453,82,40.1074692,-88.2285179,2/6/2017 15:54
1486396481,86,40.1075458,-88.2286024,2/6/2017 15:54
1486396483,79,40.1075458,-88.2286024,2/6/2017 15:54
1486396485,92,40.1075458,-88.2286024,2/6/2017 15:54
1486396486,83,40.1075458,-88.2286024,2/6/2017 15:54
1486396487,104,40.1075458,-88.2286024,2/6/2017 15:54
1486396492,87,40.10733,-88.2281272,2/6/2017 15:54
1486396494,80,40.10733,-88.2281272,2/6/2017 15:54
