time,gc,date,gc,date
0,13.46480375,1/15/2017,13.46480375,1/15/2017
0,17.91465718,1/16/2017,17.91465718,1/16/2017
0,37.53416722,1/17/2017,37.53416722,1/17/2017
0,52.83815138,1/18/2017,52.83815138,1/18/2017
0,36.2481361,1/19/2017,36.2481361,1/19/2017
0,29.34869992,1/20/2017,29.34869992,1/20/2017
0,28.98379789,1/21/2017,28.98379789,1/21/2017
0,35.13137174,1/22/2017,35.13137174,1/22/2017
0,39.92233313,1/23/2017,39.92233313,1/23/2017
0,29.00324746,1/24/2017,29.00324746,1/24/2017
0,50.03124194,1/25/2017,50.03124194,1/25/2017
0,47.60267325,1/26/2017,47.60267325,1/26/2017
0,35.09556347,1/27/2017,35.09556347,1/27/2017
0,49.05889568,1/28/2017,49.05889568,1/28/2017
0,52.30262016,1/29/2017,52.30262016,1/29/2017
0,37.73123423,1/30/2017,37.73123423,1/30/2017
0,49.4365775,1/31/2017,49.4365775,1/31/2017
0,54.66108398,2/1/2017,54.66108398,2/1/2017
0,26.98826816,2/2/2017,26.98826816,2/2/2017
0,20.1876082,2/3/2017,20.1876082,2/3/2017
0,33.12817204,2/5/2017,33.12817204,2/5/2017
0,34.22222594,2/6/2017,34.22222594,2/6/2017
0,31.42562272,2/7/2017,31.42562272,2/7/2017
0,37.83302792,2/8/2017,37.83302792,2/8/2017
0,32.11956977,2/9/2017,32.11956977,2/9/2017
0,35.51892166,2/10/2017,35.51892166,2/10/2017
0,42.88321829,2/13/2017,42.88321829,2/13/2017
0,44.88559878,2/15/2017,44.88559878,2/15/2017
0,35.07949791,2/16/2017,35.07949791,2/16/2017
0,23.89337176,2/17/2017,23.89337176,2/17/2017
0,36.48880568,2/20/2017,36.48880568,2/20/2017
0,36.20789195,2/21/2017,36.20789195,2/21/2017
0,28.70081762,2/22/2017,28.70081762,2/22/2017
0,30.96460334,2/23/2017,30.96460334,2/23/2017
0,25.05593115,2/24/2017,25.05593115,2/24/2017
0,12,2/25/2017,12,2/25/2017
0,14.5623987,2/26/2017,14.5623987,2/26/2017
0,28.14819353,2/27/2017,28.14819353,2/27/2017
0,21.28682457,2/28/2017,21.28682457,2/28/2017
0,26.5891635,3/1/2017,26.5891635,3/1/2017
0,32.41165988,3/2/2017,32.41165988,3/2/2017
0,34.8838897,3/3/2017,34.8838897,3/3/2017
0,41.68118381,3/4/2017,41.68118381,3/4/2017
0,40.17582418,3/5/2017,40.17582418,3/5/2017
0,33.87074494,3/6/2017,33.87074494,3/6/2017
0,38.1424482,3/7/2017,38.1424482,3/7/2017
0,37.54507161,3/8/2017,37.54507161,3/8/2017
0,40.6057971,3/9/2017,40.6057971,3/9/2017
0,37.59690628,3/10/2017,37.59690628,3/10/2017
0,33.08598726,3/11/2017,33.08598726,3/11/2017
0,33.48233861,3/12/2017,33.48233861,3/12/2017
0,48.59038662,3/13/2017,48.59038662,3/13/2017
0,22.40954687,3/14/2017,22.40954687,3/14/2017
0,27.36099773,3/15/2017,27.36099773,3/15/2017
0,32.19423817,3/16/2017,32.19423817,3/16/2017
0,28.77423675,3/17/2017,28.77423675,3/17/2017
0,34.75474877,3/27/2017,34.75474877,3/27/2017
0,26.38084328,3/28/2017,26.38084328,3/28/2017
0,30.10429978,3/29/2017,30.10429978,3/29/2017
0,31.91791645,3/30/2017,31.91791645,3/30/2017
0,30.59950158,3/31/2017,30.59950158,3/31/2017
0,23.11011915,4/1/2017,23.11011915,4/1/2017
0,31.60668907,4/2/2017,31.60668907,4/2/2017
0,26.81673769,4/3/2017,26.81673769,4/3/2017
0,26.3851122,4/4/2017,26.3851122,4/4/2017
0,29.22452229,4/5/2017,29.22452229,4/5/2017
0,28.47784305,4/6/2017,28.47784305,4/6/2017
0,22.6121372,4/7/2017,22.6121372,4/7/2017
