time,gc,lat,lon,date
1476927040,30,40.1004954,-88.2229327,10/20/2016 1:30
1476927041,36,40.1004831,-88.2229337,10/20/2016 1:30
1476927042,34,40.1004707,-88.222934,10/20/2016 1:30
1476927043,39,40.1004707,-88.222934,10/20/2016 1:30
1476927044,45,40.1004468,-88.2229351,10/20/2016 1:30
1476927045,36,40.1004352,-88.2229339,10/20/2016 1:30
1476927046,36,40.1004352,-88.2229339,10/20/2016 1:30
1476927047,38,40.1004129,-88.2229331,10/20/2016 1:30
1476927048,36,40.1004129,-88.2229331,10/20/2016 1:30
1476927049,47,40.1003929,-88.2229317,10/20/2016 1:30
1476927050,32,40.1003818,-88.2229292,10/20/2016 1:30
1476927051,39,40.1003818,-88.2229292,10/20/2016 1:30
1476927052,35,40.1003582,-88.2229247,10/20/2016 1:30
1476927053,36,40.1003472,-88.222923,10/20/2016 1:30
1476927054,35,40.1003365,-88.222922,10/20/2016 1:30
1476927055,25,40.1003365,-88.222922,10/20/2016 1:30
1476927056,36,40.1003138,-88.222918,10/20/2016 1:30
1476927057,26,40.1002905,-88.222917,10/20/2016 1:30
1476927059,34,40.1002905,-88.222917,10/20/2016 1:30
1476927060,31,40.1002669,-88.2229144,10/20/2016 1:31
1476927061,33,40.1002669,-88.2229144,10/20/2016 1:31
1476927062,44,40.1002429,-88.2229124,10/20/2016 1:31
1476927063,22,40.1002299,-88.222913,10/20/2016 1:31
1476927064,40,40.1002178,-88.222914,10/20/2016 1:31
1476927065,26,40.1002178,-88.222914,10/20/2016 1:31
1476927066,39,40.1001948,-88.2229156,10/20/2016 1:31
1476927067,28,40.1001837,-88.2229146,10/20/2016 1:31
1476927068,38,40.1001837,-88.2229146,10/20/2016 1:31
1476927069,39,40.1001599,-88.2229119,10/20/2016 1:31
1476927070,33,40.1001478,-88.2229117,10/20/2016 1:31
1476927071,39,40.1001478,-88.2229117,10/20/2016 1:31
1476927072,32,40.1001478,-88.2229117,10/20/2016 1:31
1476927073,42,40.1001478,-88.2229117,10/20/2016 1:31
1476927074,32,40.1001478,-88.2229117,10/20/2016 1:31
1476927075,40,40.1001478,-88.2229117,10/20/2016 1:31
1476927076,37,40.1001478,-88.2229117,10/20/2016 1:31
1476927077,38,40.1001478,-88.2229117,10/20/2016 1:31
1476927078,29,40.1001478,-88.2229117,10/20/2016 1:31
1476927080,41,40.1001478,-88.2229117,10/20/2016 1:31
1476927081,29,40.1001478,-88.2229117,10/20/2016 1:31
1476927082,40,40.1001478,-88.2229117,10/20/2016 1:31
1476927083,42,40.1001478,-88.2229117,10/20/2016 1:31
1476927084,28,40.1001478,-88.2229117,10/20/2016 1:31
1476927085,27,40.1001478,-88.2229117,10/20/2016 1:31
1476927086,31,40.1001478,-88.2229117,10/20/2016 1:31
1476927087,30,40.1001478,-88.2229117,10/20/2016 1:31
1476927088,44,40.1001478,-88.2229117,10/20/2016 1:31
1476927089,18,40.1001478,-88.2229117,10/20/2016 1:31
1476927090,27,40.1001478,-88.2229117,10/20/2016 1:31
1476927091,24,40.1001478,-88.2229117,10/20/2016 1:31
1476927092,29,40.1001478,-88.2229117,10/20/2016 1:31
1476927093,38,40.1001478,-88.2229117,10/20/2016 1:31
1476927095,28,40.1001478,-88.2229117,10/20/2016 1:31
1476927096,34,40.1001478,-88.2229117,10/20/2016 1:31
1476927097,35,40.1001478,-88.2229117,10/20/2016 1:31
1476927098,33,40.1001478,-88.2229117,10/20/2016 1:31
1476927099,28,40.1001478,-88.2229117,10/20/2016 1:31
1476927100,36,40.1001478,-88.2229117,10/20/2016 1:31
1476927101,37,40.1001478,-88.2229117,10/20/2016 1:31
1476927102,38,40.1001478,-88.2229117,10/20/2016 1:31
1476927103,37,40.1001478,-88.2229117,10/20/2016 1:31
1476927104,50,40.1001478,-88.2229117,10/20/2016 1:31
1476927105,34,40.1001478,-88.2229117,10/20/2016 1:31
1476927106,39,40.1001478,-88.2229117,10/20/2016 1:31
1476927107,39,40.1001478,-88.2229117,10/20/2016 1:31
1476927109,28,40.1001478,-88.2229117,10/20/2016 1:31
1476927110,34,40.1001478,-88.2229117,10/20/2016 1:31
1476927111,33,40.1001478,-88.2229117,10/20/2016 1:31
1476927112,32,40.1001478,-88.2229117,10/20/2016 1:31
1476927113,33,40.1001478,-88.2229117,10/20/2016 1:31
1476927114,48,40.1001478,-88.2229117,10/20/2016 1:31
1476927115,55,40.1001478,-88.2229117,10/20/2016 1:31
1476927116,31,40.1001478,-88.2229117,10/20/2016 1:31
1476927117,36,40.1001478,-88.2229117,10/20/2016 1:31
1476927118,48,40.1001478,-88.2229117,10/20/2016 1:31
1476927119,44,40.1001478,-88.2229117,10/20/2016 1:31
