time,gc,lat,lon,date
1486413893,55,40.1112983,-88.2240591,2/6/17 20:44
1486413898,69,40.1112283,-88.2240546,2/6/17 20:44
1486413899,88,40.1112283,-88.2240546,2/6/17 20:44
1486413900,88,40.1112009,-88.2240526,2/6/17 20:45
1486413901,77,40.1111879,-88.2240524,2/6/17 20:45
1486413902,75,40.1111879,-88.2240524,2/6/17 20:45
1486413903,65,40.1111639,-88.2240542,2/6/17 20:45
1486413904,72,40.111153,-88.2240548,2/6/17 20:45
1486413905,90,40.111153,-88.2240548,2/6/17 20:45
1486413906,82,40.1111421,-88.224071,2/6/17 20:45
1486413907,89,40.1111421,-88.224071,2/6/17 20:45
1486413908,86,40.1111427,-88.224108,2/6/17 20:45
1486413909,98,40.1111463,-88.2241253,2/6/17 20:45
1486413910,105,40.1111504,-88.2241365,2/6/17 20:45
1486413911,143,40.1111504,-88.2241365,2/6/17 20:45
1486413912,171,40.1111504,-88.2241365,2/6/17 20:45
1486413913,141,40.111159,-88.2241401,2/6/17 20:45
1486413914,170,40.111159,-88.2241401,2/6/17 20:45
1486413915,174,40.111159,-88.2241401,2/6/17 20:45
1486413916,174,40.111159,-88.2241401,2/6/17 20:45
1486413917,174,40.111159,-88.2241401,2/6/17 20:45
1486413918,204,40.1111684,-88.2241508,2/6/17 20:45
1486413919,174,40.1111684,-88.2241508,2/6/17 20:45
1486413920,159,40.1111684,-88.2241508,2/6/17 20:45
1486413921,138,40.1111684,-88.2241508,2/6/17 20:45
1486413923,162,40.1111684,-88.2241508,2/6/17 20:45
1486413924,165,40.1111684,-88.2241508,2/6/17 20:45
1486413925,168,40.1111684,-88.2241508,2/6/17 20:45
1486413926,158,40.1111684,-88.2241508,2/6/17 20:45
1486413927,156,40.1111684,-88.2241508,2/6/17 20:45
1486413928,164,40.1111684,-88.2241508,2/6/17 20:45
1486413929,196,40.1111684,-88.2241508,2/6/17 20:45
1486413930,203,40.1111714,-88.2241658,2/6/17 20:45
1486413931,176,40.1111714,-88.2241658,2/6/17 20:45
1486413932,191,40.1111714,-88.2241658,2/6/17 20:45
1486413933,184,40.1111666,-88.2241762,2/6/17 20:45
1486413934,208,40.1111666,-88.2241762,2/6/17 20:45
1486413935,206,40.1111666,-88.2241762,2/6/17 20:45
1486413936,130,40.1111666,-88.2241762,2/6/17 20:45
1486413937,146,40.1111666,-88.2241762,2/6/17 20:45
1486413938,131,40.1111666,-88.2241762,2/6/17 20:45
1486413939,114,40.1111666,-88.2241762,2/6/17 20:45
1486413940,126,40.1111666,-88.2241762,2/6/17 20:45
1486413941,130,40.1111666,-88.2241762,2/6/17 20:45
1486413942,137,40.1111666,-88.2241762,2/6/17 20:45
1486413943,126,40.1111666,-88.2241762,2/6/17 20:45
1486413944,113,40.1111666,-88.2241762,2/6/17 20:45
1486413945,168,40.1111666,-88.2241762,2/6/17 20:45
1486413946,152,40.1111666,-88.2241762,2/6/17 20:45
1486413947,144,40.1111666,-88.2241762,2/6/17 20:45
1486413948,142,40.1111666,-88.2241762,2/6/17 20:45
1486413949,111,40.1111666,-88.2241762,2/6/17 20:45
1486413950,122,40.1111666,-88.2241762,2/6/17 20:45
1486413951,120,40.1111666,-88.2241762,2/6/17 20:45
1486413952,128,40.1111666,-88.2241762,2/6/17 20:45
1486413953,112,40.1111666,-88.2241762,2/6/17 20:45
1486413954,140,40.1111666,-88.2241762,2/6/17 20:45
1486413955,88,40.1111666,-88.2241762,2/6/17 20:45
1486413956,71,40.1111666,-88.2241762,2/6/17 20:45
1486413957,80,40.1111666,-88.2241762,2/6/17 20:45
1486413958,61,40.1111666,-88.2241762,2/6/17 20:45
1486413959,61,40.1111666,-88.2241762,2/6/17 20:45
1486413960,59,40.1111666,-88.2241762,2/6/17 20:46
1486413961,70,40.1111666,-88.2241762,2/6/17 20:46
1486413962,56,40.1111666,-88.2241762,2/6/17 20:46
1486413964,65,40.1111666,-88.2241762,2/6/17 20:46
1486413965,55,40.1111666,-88.2241762,2/6/17 20:46
1486416587,59,40.1111492,-88.2240482,2/6/17 21:29
1486416589,66,40.1111697,-88.224047,2/6/17 21:29
1486416590,60,40.111182,-88.2240447,2/6/17 21:29
1486416591,66,40.1112051,-88.2240394,2/6/17 21:29
1486416594,57,40.1112306,-88.22403,2/6/17 21:29
1486417631,55,40.1112832,-88.2240667,2/6/17 21:47
1486417639,64,40.1111884,-88.2240684,2/6/17 21:47
1486417640,71,40.111173,-88.2240687,2/6/17 21:47
