time,gc,lat,lon,date
1477343408,26,40.1048982,-88.2256956,10/24/2016 21:10
1477343409,32,40.1048702,-88.2257151,10/24/2016 21:10
1477343410,28,40.1048046,-88.2257313,10/24/2016 21:10
1477343411,26,40.1048046,-88.2257313,10/24/2016 21:10
1477343412,31,40.1047325,-88.2257229,10/24/2016 21:10
1477343413,33,40.1046973,-88.2257189,10/24/2016 21:10
1477343414,33,40.1046973,-88.2257189,10/24/2016 21:10
1477343415,32,40.1046291,-88.2257147,10/24/2016 21:10
1477343416,21,40.1045948,-88.2257121,10/24/2016 21:10
1477343417,25,40.1045948,-88.2257121,10/24/2016 21:10
1477343418,33,40.1045266,-88.2257097,10/24/2016 21:10
1477343419,25,40.1045266,-88.2257097,10/24/2016 21:10
1477343420,30,40.1044575,-88.2257045,10/24/2016 21:10
1477343421,15,40.1044209,-88.2257008,10/24/2016 21:10
1477343422,31,40.1044209,-88.2257008,10/24/2016 21:10
1477343423,32,40.1043479,-88.2256913,10/24/2016 21:10
1477343424,30,40.1043114,-88.2256873,10/24/2016 21:10
1477343426,24,40.1042758,-88.2256853,10/24/2016 21:10
1477343427,31,40.1042404,-88.2256855,10/24/2016 21:10
1477343428,24,40.1042404,-88.2256855,10/24/2016 21:10
1477436159,7,40.1050749,-88.2257069,10/25/2016 22:55
1477436161,14,40.1050001,-88.2257033,10/25/2016 22:56
1477436164,8,40.1048887,-88.2256916,10/25/2016 22:56
1477436165,26,40.1048098,-88.2256858,10/25/2016 22:56
1477497826,23,40.1049489,-88.2257276,10/26/2016 16:03
1477497827,26,40.1048766,-88.2257208,10/26/2016 16:03
1477497829,24,40.1048031,-88.2257157,10/26/2016 16:03
1477497830,28,40.1047253,-88.2257164,10/26/2016 16:03
1477497831,23,40.1047253,-88.2257164,10/26/2016 16:03
1477497832,16,40.1046533,-88.2257174,10/26/2016 16:03
1477497833,10,40.1046533,-88.2257174,10/26/2016 16:03
1477497835,13,40.1045452,-88.2257164,10/26/2016 16:03
1477497836,18,40.1045452,-88.2257164,10/26/2016 16:03
1477497837,15,40.1044763,-88.2257145,10/26/2016 16:03
1477497838,22,40.1044763,-88.2257145,10/26/2016 16:03
1477497839,29,40.1044095,-88.2257143,10/26/2016 16:03
1477497840,13,40.1043763,-88.2257153,10/26/2016 16:04
1477497841,29,40.1043436,-88.225714,10/26/2016 16:04
1477497842,19,40.1043436,-88.225714,10/26/2016 16:04
1477497843,11,40.1042808,-88.225714,10/26/2016 16:04
1477497844,25,40.1042489,-88.2257154,10/26/2016 16:04
1477497846,30,40.1042489,-88.2257154,10/26/2016 16:04
1477616153,44,40.1047473,-88.2265495,10/28/2016 0:55
1477616154,16,40.1047473,-88.2265495,10/28/2016 0:55
1477616155,44,40.104766,-88.226543,10/28/2016 0:55
1477616156,34,40.1047856,-88.2265405,10/28/2016 0:55
1477616157,40,40.1047968,-88.2265414,10/28/2016 0:55
1477616158,37,40.1047968,-88.2265414,10/28/2016 0:55
1477616159,45,40.1048208,-88.2265445,10/28/2016 0:55
1477616161,38,40.1048312,-88.2265464,10/28/2016 0:56
1477616162,39,40.1048312,-88.2265464,10/28/2016 0:56
1477616163,42,40.1048552,-88.2265487,10/28/2016 0:56
1477616164,38,40.1048552,-88.2265487,10/28/2016 0:56
1477616182,47,40.1050454,-88.2265496,10/28/2016 0:56
1477616183,40,40.1050546,-88.2265485,10/28/2016 0:56
1477616184,26,40.1050546,-88.2265485,10/28/2016 0:56
1477616185,40,40.105074,-88.2265478,10/28/2016 0:56
1478092957,44,40.1046179,-88.226129,11/2/2016 13:22
1478092965,37,40.1045528,-88.2261394,11/2/2016 13:22
1478092966,39,40.1045528,-88.2261394,11/2/2016 13:22
1478092967,28,40.1045025,-88.2261359,11/2/2016 13:22
1478092968,40,40.1045025,-88.2261359,11/2/2016 13:22
1478092969,45,40.1045025,-88.2261359,11/2/2016 13:22
1478092970,42,40.1045025,-88.2261359,11/2/2016 13:22
1478092971,27,40.1044964,-88.2261259,11/2/2016 13:22
1478092972,38,40.1044964,-88.2261259,11/2/2016 13:22
1478092973,47,40.1044964,-88.2261259,11/2/2016 13:22
1478092974,48,40.1044964,-88.2261259,11/2/2016 13:22
1478092976,32,40.1044964,-88.2261259,11/2/2016 13:22
1478092978,32,40.1044903,-88.2261356,11/2/2016 13:22
1478092979,32,40.1044903,-88.2261356,11/2/2016 13:22
1478092980,34,40.1044903,-88.2261356,11/2/2016 13:23
1478092981,41,40.1044903,-88.2261356,11/2/2016 13:23
1478092982,41,40.1044903,-88.2261356,11/2/2016 13:23
1478092983,38,40.1044903,-88.2261356,11/2/2016 13:23
1478092984,28,40.1044903,-88.2261356,11/2/2016 13:23
1478092985,28,40.1044903,-88.2261356,11/2/2016 13:23
1478092986,43,40.1044903,-88.2261356,11/2/2016 13:23
1478092987,45,40.1044903,-88.2261356,11/2/2016 13:23
1478092988,41,40.1044903,-88.2261356,11/2/2016 13:23
1478092989,40,40.1044903,-88.2261356,11/2/2016 13:23
1478092990,33,40.1044903,-88.2261356,11/2/2016 13:23
1478092991,37,40.1044903,-88.2261356,11/2/2016 13:23
1478092993,43,40.1044903,-88.2261356,11/2/2016 13:23
1478092994,40,40.1044903,-88.2261356,11/2/2016 13:23
1478092995,40,40.1044903,-88.2261356,11/2/2016 13:23
1478092996,48,40.1044903,-88.2261356,11/2/2016 13:23
1478092997,44,40.1044903,-88.2261356,11/2/2016 13:23
1478092998,43,40.1044903,-88.2261356,11/2/2016 13:23
1478092999,45,40.1044903,-88.2261356,11/2/2016 13:23
1478093000,27,40.1044903,-88.2261356,11/2/2016 13:23
1478093001,32,40.1044903,-88.2261356,11/2/2016 13:23
1478093002,30,40.1044903,-88.2261356,11/2/2016 13:23
