time,gc,lat,lon,date
1484935306,22,40.1036328,-88.2349365,1/20/2017 18:01
1484935307,34,40.1036328,-88.2349365,1/20/2017 18:01
1484935308,34,40.1036328,-88.2349365,1/20/2017 18:01
1484935309,25,40.1036328,-88.2349365,1/20/2017 18:01
1484935349,38,40.1036328,-88.2349365,1/20/2017 18:02
1484935350,26,40.1036328,-88.2349365,1/20/2017 18:02
1484935351,24,40.1036328,-88.2349365,1/20/2017 18:02
1484935352,24,40.1036328,-88.2349365,1/20/2017 18:02
1484935353,23,40.1036328,-88.2349365,1/20/2017 18:02
1484935354,19,40.1036328,-88.2349365,1/20/2017 18:02
1484935355,28,40.1036328,-88.2349365,1/20/2017 18:02
1484935356,15,40.1036328,-88.2349365,1/20/2017 18:02
1484935357,24,40.1036328,-88.2349365,1/20/2017 18:02
1484935358,22,40.1036328,-88.2349365,1/20/2017 18:02
1484935359,31,40.1036328,-88.2349365,1/20/2017 18:02
1484935360,28,40.1036328,-88.2349365,1/20/2017 18:02
1484935362,27,40.1036328,-88.2349365,1/20/2017 18:02
1484935363,28,40.1036328,-88.2349365,1/20/2017 18:02
1484935364,26,40.1036328,-88.2349365,1/20/2017 18:02
1484935365,24,40.1036328,-88.2349365,1/20/2017 18:02
1484935366,25,40.1036328,-88.2349365,1/20/2017 18:02
1484935367,40,40.1036328,-88.2349365,1/20/2017 18:02
1484935368,28,40.1036328,-88.2349365,1/20/2017 18:02
1484935369,27,40.1036328,-88.2349365,1/20/2017 18:02
1484935370,35,40.1036328,-88.2349365,1/20/2017 18:02
1484935371,26,40.1036328,-88.2349365,1/20/2017 18:02
1484935372,29,40.1036328,-88.2349365,1/20/2017 18:02
1484935373,26,40.1036328,-88.2349365,1/20/2017 18:02
1484935374,26,40.1036328,-88.2349365,1/20/2017 18:02
1484935375,25,40.1036328,-88.2349365,1/20/2017 18:02
1484935377,28,40.1036328,-88.2349365,1/20/2017 18:02
1484935378,31,40.1036328,-88.2349365,1/20/2017 18:02
1484935379,33,40.1036328,-88.2349365,1/20/2017 18:02
1484935380,30,40.1036328,-88.2349365,1/20/2017 18:03
1484935381,31,40.1036328,-88.2349365,1/20/2017 18:03
1484935382,31,40.1036328,-88.2349365,1/20/2017 18:03
1484935383,36,40.1036328,-88.2349365,1/20/2017 18:03
1484935384,31,40.1036328,-88.2349365,1/20/2017 18:03
1484935385,21,40.1036328,-88.2349365,1/20/2017 18:03
1484935386,27,40.1036328,-88.2349365,1/20/2017 18:03
1484935387,32,40.1036328,-88.2349365,1/20/2017 18:03
1484935388,21,40.1036328,-88.2349365,1/20/2017 18:03
1484935389,21,40.1036328,-88.2349365,1/20/2017 18:03
1484935390,39,40.1036328,-88.2349365,1/20/2017 18:03
1484935391,33,40.1036328,-88.2349365,1/20/2017 18:03
1484935393,31,40.1036328,-88.2349365,1/20/2017 18:03
1484935394,35,40.1036328,-88.2349365,1/20/2017 18:03
1484935395,22,40.1036328,-88.2349365,1/20/2017 18:03
1484935396,28,40.1036328,-88.2349365,1/20/2017 18:03
1484935397,26,40.1036328,-88.2349365,1/20/2017 18:03
1484935398,33,40.1036328,-88.2349365,1/20/2017 18:03
1484935399,32,40.1036328,-88.2349365,1/20/2017 18:03
1484935400,32,40.1036328,-88.2349365,1/20/2017 18:03
1484935401,27,40.1036328,-88.2349365,1/20/2017 18:03
1484935402,38,40.1036328,-88.2349365,1/20/2017 18:03
1484935403,28,40.1036328,-88.2349365,1/20/2017 18:03
1484935404,20,40.1036328,-88.2349365,1/20/2017 18:03
1484935405,26,40.1036328,-88.2349365,1/20/2017 18:03
1484935406,35,40.1036328,-88.2349365,1/20/2017 18:03
1484935407,29,40.1036328,-88.2349365,1/20/2017 18:03
1484935409,29,40.1036328,-88.2349365,1/20/2017 18:03
1484935410,33,40.1036328,-88.2349365,1/20/2017 18:03
1484935411,41,40.1036328,-88.2349365,1/20/2017 18:03
1484935412,24,40.1036328,-88.2349365,1/20/2017 18:03
1484935413,41,40.1036328,-88.2349365,1/20/2017 18:03
1484935414,32,40.1036328,-88.2349365,1/20/2017 18:03
1484935415,34,40.1036328,-88.2349365,1/20/2017 18:03
1484935416,31,40.1036328,-88.2349365,1/20/2017 18:03
1484935417,30,40.1036328,-88.2349365,1/20/2017 18:03
1484935418,39,40.1036328,-88.2349365,1/20/2017 18:03
1484935419,26,40.1036328,-88.2349365,1/20/2017 18:03
1484935420,36,40.1036328,-88.2349365,1/20/2017 18:03
1484935421,35,40.1036328,-88.2349365,1/20/2017 18:03
1484935422,33,40.1036328,-88.2349365,1/20/2017 18:03
1484935423,41,40.1036328,-88.2349365,1/20/2017 18:03
1484935424,20,40.1036328,-88.2349365,1/20/2017 18:03
1484935425,38,40.1036328,-88.2349365,1/20/2017 18:03
1484935427,30,40.1036328,-88.2349365,1/20/2017 18:03
1484935428,32,40.1036328,-88.2349365,1/20/2017 18:03
1484935429,36,40.1036328,-88.2349365,1/20/2017 18:03
1484935430,34,40.1036328,-88.2349365,1/20/2017 18:03
1484935431,37,40.1036328,-88.2349365,1/20/2017 18:03
1484935432,31,40.1036328,-88.2349365,1/20/2017 18:03
1484935433,36,40.1036328,-88.2349365,1/20/2017 18:03
1484935434,35,40.1036328,-88.2349365,1/20/2017 18:03
1484935435,22,40.1036328,-88.2349365,1/20/2017 18:03
1484935436,34,40.1036328,-88.2349365,1/20/2017 18:03
1484935437,35,40.1036328,-88.2349365,1/20/2017 18:03
1484935438,42,40.1036328,-88.2349365,1/20/2017 18:03
1484935439,26,40.1036328,-88.2349365,1/20/2017 18:03
1484935440,31,40.1036328,-88.2349365,1/20/2017 18:04
1484935441,32,40.1036328,-88.2349365,1/20/2017 18:04
1484935443,29,40.1036328,-88.2349365,1/20/2017 18:04
1484935444,28,40.1036328,-88.2349365,1/20/2017 18:04
1484935445,39,40.1036328,-88.2349365,1/20/2017 18:04
1484935446,33,40.1036328,-88.2349365,1/20/2017 18:04
1484935447,25,40.1036328,-88.2349365,1/20/2017 18:04
1484935448,38,40.1036328,-88.2349365,1/20/2017 18:04
1484935449,30,40.1036328,-88.2349365,1/20/2017 18:04
1484935450,38,40.1036328,-88.2349365,1/20/2017 18:04
1484935451,40,40.1036328,-88.2349365,1/20/2017 18:04
1484935452,30,40.1036328,-88.2349365,1/20/2017 18:04
1484935453,41,40.1036328,-88.2349365,1/20/2017 18:04
1484935454,30,40.1036328,-88.2349365,1/20/2017 18:04
1484935455,21,40.1036328,-88.2349365,1/20/2017 18:04
1484935456,23,40.1036328,-88.2349365,1/20/2017 18:04
1484935457,30,40.1036328,-88.2349365,1/20/2017 18:04
1484935458,30,40.1036328,-88.2349365,1/20/2017 18:04
1484935460,36,40.1036328,-88.2349365,1/20/2017 18:04
1484935461,29,40.1036328,-88.2349365,1/20/2017 18:04
1484935462,20,40.1036328,-88.2349365,1/20/2017 18:04
1484935463,42,40.1036328,-88.2349365,1/20/2017 18:04
1484935464,40,40.1036328,-88.2349365,1/20/2017 18:04
1484935465,25,40.1036328,-88.2349365,1/20/2017 18:04
1484935466,42,40.1036328,-88.2349365,1/20/2017 18:04
