time,gc,lat,lon,date
1486421060,51,40.1009689,-88.2360396,2/6/2017 22:44
1486421078,39,40.1007776,-88.2360619,2/6/2017 22:44
1486421079,46,40.1007776,-88.2360619,2/6/2017 22:44
1486421080,31,40.1007776,-88.2360619,2/6/2017 22:44
1486421081,40,40.1007776,-88.2360619,2/6/2017 22:44
1486421083,38,40.1007776,-88.2360619,2/6/2017 22:44
1486421084,44,40.1007776,-88.2360619,2/6/2017 22:44
1486421086,48,40.1007776,-88.2360619,2/6/2017 22:44
1486421087,47,40.1008877,-88.2359635,2/6/2017 22:44
1486421088,40,40.1008877,-88.2359635,2/6/2017 22:44
1486421089,48,40.1008877,-88.2359635,2/6/2017 22:44
1486421090,44,40.1008877,-88.2359635,2/6/2017 22:44
1486421091,48,40.1008877,-88.2359635,2/6/2017 22:44
1486421093,29,40.1008877,-88.2359635,2/6/2017 22:44
1486421094,45,40.1008877,-88.2359635,2/6/2017 22:44
1486421095,33,40.1008877,-88.2359635,2/6/2017 22:44
1486421099,40,40.1008877,-88.2359635,2/6/2017 22:44
1486421100,32,40.1008877,-88.2359635,2/6/2017 22:45
1486421101,33,40.1008877,-88.2359635,2/6/2017 22:45
1486421108,33,40.1008865,-88.2358875,2/6/2017 22:45
1486421109,34,40.1008865,-88.2358875,2/6/2017 22:45
1486421110,30,40.1008865,-88.2358875,2/6/2017 22:45
1486421111,35,40.1008865,-88.2358875,2/6/2017 22:45
1486421113,34,40.1007265,-88.2358875,2/6/2017 22:45
1486421114,36,40.1007265,-88.2358875,2/6/2017 22:45
1486421116,32,40.1007265,-88.2358875,2/6/2017 22:45
1486421119,33,40.1007265,-88.2358875,2/6/2017 22:45
1486421120,27,40.1007265,-88.2358875,2/6/2017 22:45
1486421121,38,40.1007265,-88.2358875,2/6/2017 22:45
1486421123,37,40.1007265,-88.2358875,2/6/2017 22:45
1486421124,33,40.1006476,-88.2359635,2/6/2017 22:45
1486421143,29,40.1008506,-88.2360736,2/6/2017 22:45
1486421144,25,40.1007885,-88.2360521,2/6/2017 22:45
1486421145,26,40.1007885,-88.2360521,2/6/2017 22:45
1486421146,25,40.1007288,-88.2360277,2/6/2017 22:45
1486421148,21,40.1007048,-88.2360171,2/6/2017 22:45
1486421149,29,40.1006769,-88.2360137,2/6/2017 22:45
1486421150,23,40.1006769,-88.2360137,2/6/2017 22:45
1486421151,19,40.1006622,-88.2360211,2/6/2017 22:45
1486421153,22,40.10065,-88.2360268,2/6/2017 22:45
1486421154,23,40.10065,-88.2360268,2/6/2017 22:45
1486421155,20,40.10065,-88.2360268,2/6/2017 22:45
1486421156,29,40.10065,-88.2360268,2/6/2017 22:45
1486421159,24,40.10065,-88.2360268,2/6/2017 22:45
1486421160,28,40.10065,-88.2360268,2/6/2017 22:46
1486421161,25,40.10065,-88.2360268,2/6/2017 22:46
1486421163,31,40.10065,-88.2360268,2/6/2017 22:46
1486421164,37,40.10065,-88.2360268,2/6/2017 22:46
1486421166,42,40.1006434,-88.2360342,2/6/2017 22:46
1486421168,31,40.1006434,-88.2360342,2/6/2017 22:46
1486421169,43,40.1006434,-88.2360342,2/6/2017 22:46
1486421169,36,40.1006434,-88.2360342,2/6/2017 22:46
1486421170,26,40.1006434,-88.2360342,2/6/2017 22:46
1486421172,33,40.1006434,-88.2360342,2/6/2017 22:46
1486421173,27,40.1006434,-88.2360342,2/6/2017 22:46
1486421174,37,40.1006434,-88.2360342,2/6/2017 22:46
1486421175,28,40.1006434,-88.2360342,2/6/2017 22:46
1486421177,32,40.1006434,-88.2360342,2/6/2017 22:46
1486421178,21,40.1006434,-88.2360342,2/6/2017 22:46
1486421179,31,40.1006434,-88.2360342,2/6/2017 22:46
1486421180,28,40.1006434,-88.2360342,2/6/2017 22:46
1486421183,33,40.1006434,-88.2360342,2/6/2017 22:46
1486421184,33,40.1006434,-88.2360342,2/6/2017 22:46
1486421185,36,40.1006434,-88.2360342,2/6/2017 22:46
1486421187,33,40.1006434,-88.2360342,2/6/2017 22:46
1486421188,40,40.1006434,-88.2360342,2/6/2017 22:46
1486421189,25,40.1006434,-88.2360342,2/6/2017 22:46
1486421190,24,40.1006434,-88.2360342,2/6/2017 22:46
