time,gc,lat,lon,date,,,,,,,,,,,
1488292030,15,40.1004177,-88.222903,2/28/2017 14:27,,,,,,,,,,,
1491339571,21,40.1002963,-88.2229513,4/4/2017 20:59,,,,,,,,,,,
1491339572,26,40.1002519,-88.2230083,4/4/2017 20:59,,,,,,,,,,,
1491339574,19,40.1001898,-88.2230434,4/4/2017 20:59,,,,,,,,,,,
1491339575,24,40.1000857,-88.2229659,4/4/2017 20:59,,,,,,,,,,,
1491339576,19,40.1000857,-88.2229659,4/4/2017 20:59,,,,,,,,,,,
1491326188,20,40.0981988,-88.2231926,4/4/2017 17:16,,,,,,,,,,,
1491326189,25,40.0981975,-88.2233761,4/4/2017 17:16,,,,,,,,,,,
1491326190,16,40.0981993,-88.2235541,4/4/2017 17:16,,,,,,,,,,,
1491326191,24,40.0981993,-88.2235541,4/4/2017 17:16,,,,,,,,,,,
1491326192,21,40.0981943,-88.2241033,4/4/2017 17:16,,,,,,,,,,,
1491326193,20,40.0981876,-88.2242898,4/4/2017 17:16,,,,,,,,,,,
1491326194,16,40.0981914,-88.2244805,4/4/2017 17:16,,,,,,,,,,,
1491326195,22,40.0981914,-88.2244805,4/4/2017 17:16,,,,,,,,,,,
1491326196,19,40.0981933,-88.2248647,4/4/2017 17:16,,,,,,,,,,,
1491326197,18,40.0981911,-88.2250568,4/4/2017 17:16,,,,,,,,,,,
1491326198,14,40.0981911,-88.2250568,4/4/2017 17:16,,,,,,,,,,,
1491326199,22,40.0981918,-88.2254348,4/4/2017 17:16,,,,,,,,,,,
1491326200,15,40.0981918,-88.2254348,4/4/2017 17:16,,,,,,,,,,,
1491326201,16,40.0981821,-88.2258423,4/4/2017 17:16,,,,,,,,,,,
1491326203,14,40.0981786,-88.2260418,4/4/2017 17:16,,,,,,,,,,,
1491326204,19,40.098178,-88.2262478,4/4/2017 17:16,,,,,,,,,,,
1491326205,16,40.0981753,-88.2264638,4/4/2017 17:16,,,,,,,,,,,
1491326206,19,40.0981753,-88.2264638,4/4/2017 17:16,,,,,,,,,,,
1491326207,17,40.0981718,-88.2268883,4/4/2017 17:16,,,,,,,,,,,
1491326208,14,40.0981718,-88.2268883,4/4/2017 17:16,,,,,,,,,,,
1491326209,15,40.0981665,-88.2273186,4/4/2017 17:16,,,,,,,,,,,
1491326210,15,40.0981627,-88.2275321,4/4/2017 17:16,,,,,,,,,,,
1491326211,16,40.098161,-88.2279712,4/4/2017 17:16,,,,,,,,,,,
1491326212,27,40.0981538,-88.228182,4/4/2017 17:16,,,,,,,,,,,
1491326213,20,40.0981559,-88.2283967,4/4/2017 17:16,,,,,,,,,,,
1491326214,19,40.0981559,-88.2283967,4/4/2017 17:16,,,,,,,,,,,
1491326215,11,40.0981491,-88.228818,4/4/2017 17:16,,,,,,,,,,,
1491326216,10,40.0981428,-88.2290278,4/4/2017 17:16,,,,,,,,,,,
1491326217,20,40.0981428,-88.2290278,4/4/2017 17:16,,,,,,,,,,,
1491326218,12,40.0981417,-88.2294528,4/4/2017 17:16,,,,,,,,,,,
1491326219,18,40.0981407,-88.2296608,4/4/2017 17:16,,,,,,,,,,,
1491326220,20,40.0981436,-88.2298641,4/4/2017 17:17,,,,,,,,,,,
1491326222,15,40.0981436,-88.2298641,4/4/2017 17:17,,,,,,,,,,,
1491326223,21,40.0981341,-88.2302693,4/4/2017 17:17,,,,,,,,,,,
1491326224,12,40.0981341,-88.2302693,4/4/2017 17:17,,,,,,,,,,,
1491326225,14,40.0981314,-88.2306711,4/4/2017 17:17,,,,,,,,,,,
1491326226,23,40.0981324,-88.2308695,4/4/2017 17:17,,,,,,,,,,,
1491326227,12,40.0981324,-88.2308695,4/4/2017 17:17,,,,,,,,,,,
1491326228,19,40.0981313,-88.2312532,4/4/2017 17:17,,,,,,,,,,,
1491326229,18,40.0981313,-88.2312532,4/4/2017 17:17,,,,,,,,,,,
1491326230,18,40.0981297,-88.2316354,4/4/2017 17:17,,,,,,,,,,,
1491326231,10,40.0981337,-88.2319985,4/4/2017 17:17,,,,,,,,,,,
1491326232,21,40.0981358,-88.2321655,4/4/2017 17:17,,,,,,,,,,,
1491326233,10,40.0981358,-88.2321655,4/4/2017 17:17,,,,,,,,,,,
1491326234,19,40.0981363,-88.2324447,4/4/2017 17:17,,,,,,,,,,,
1491326235,17,40.0981369,-88.2325768,4/4/2017 17:17,,,,,,,,,,,
1491326236,13,40.0981392,-88.2326903,4/4/2017 17:17,,,,,,,,,,,
1491326238,18,40.0981392,-88.2326903,4/4/2017 17:17,,,,,,,,,,,
1491326239,13,40.0981377,-88.2328529,4/4/2017 17:17,,,,,,,,,,,
1491326240,12,40.0981377,-88.2328529,4/4/2017 17:17,,,,,,,,,,,
1491326241,21,40.0981395,-88.2329269,4/4/2017 17:17,,,,,,,,,,,
1491326242,13,40.0981395,-88.2329269,4/4/2017 17:17,,,,,,,,,,,
1491326243,15,40.0981404,-88.2329567,4/4/2017 17:17,,,,,,,,,,,
1491326244,16,40.0981404,-88.2329567,4/4/2017 17:17,,,,,,,,,,,
1491326245,19,40.0981404,-88.2329567,4/4/2017 17:17,,,,,,,,,,,
1491326246,17,40.0981404,-88.2329567,4/4/2017 17:17,,,,,,,,,,,
1491326247,8,40.0981392,-88.2329424,4/4/2017 17:17,,,,,,,,,,,
1491326248,15,40.0981392,-88.2329424,4/4/2017 17:17,,,,,,,,,,,
1491326249,17,40.0981392,-88.2329424,4/4/2017 17:17,,,,,,,,,,,
1491326250,11,40.0981392,-88.2329424,4/4/2017 17:17,,,,,,,,,,,
1491326251,16,40.0981392,-88.2329424,4/4/2017 17:17,,,,,,,,,,,
1491326252,12,40.0981392,-88.2329424,4/4/2017 17:17,,,,,,,,,,,
1491326254,10,40.0981392,-88.2329424,4/4/2017 17:17,,,,,,,,,,,
1491326255,12,40.0981392,-88.2329424,4/4/2017 17:17,,,,,,,,,,,
1491326256,11,40.0981392,-88.2329424,4/4/2017 17:17,,,,,,,,,,,
1491326257,19,40.0981392,-88.2329424,4/4/2017 17:17,,,,,,,,,,,
1491326258,12,40.0981392,-88.2329424,4/4/2017 17:17,,,,,,,,,,,
1491326259,14,40.0981392,-88.2329424,4/4/2017 17:17,,,,,,,,,,,
1491326260,15,40.0981392,-88.2329424,4/4/2017 17:17,,,,,,,,,,,
1491326261,10,40.0981392,-88.2329424,4/4/2017 17:17,,,,,,,,,,,
1491326262,17,40.0981392,-88.2329424,4/4/2017 17:17,,,,,,,,,,,
1491326263,14,40.0981392,-88.2329424,4/4/2017 17:17,,,,,,,,,,,
1491326264,12,40.0981392,-88.2329424,4/4/2017 17:17,,,,,,,,,,,
1491326265,15,40.0981392,-88.2329424,4/4/2017 17:17,,,,,,,,,,,
1491326266,20,40.0981392,-88.2329424,4/4/2017 17:17,,,,,,,,,,,
1491326267,13,40.0981392,-88.2329424,4/4/2017 17:17,,,,,,,,,,,
1491326268,15,40.0981392,-88.2329424,4/4/2017 17:17,,,,,,,,,,,
1491326269,11,40.0981392,-88.2329424,4/4/2017 17:17,,,,,,,,,,,
1491326271,20,40.0981392,-88.2329424,4/4/2017 17:17,,,,,,,,,,,
1491326272,10,40.0981392,-88.2329424,4/4/2017 17:17,,,,,,,,,,,
1491326273,13,40.098136,-88.232986,4/4/2017 17:17,,,,,,,,,,,
1491326274,14,40.098136,-88.232986,4/4/2017 17:17,,,,,,,,,,,
1491326275,15,40.0981389,-88.2331363,4/4/2017 17:17,,,,,,,,,,,
1491326276,22,40.0981389,-88.2331363,4/4/2017 17:17,,,,,,,,,,,
1491331619,7,40.0981298,-88.2333251,4/4/2017 18:46,,,,,,,,,,,
1491331621,17,40.0982129,-88.2333002,4/4/2017 18:47,,,,,,,,,,,
1491331622,12,40.0982935,-88.2332862,4/4/2017 18:47,,,,,,,,,,,
1491331623,14,40.0983875,-88.2332958,4/4/2017 18:47,,,,,,,,,,,
1491331624,13,40.0986073,-88.2332987,4/4/2017 18:47,,,,,,,,,,,
1491331625,21,40.0987269,-88.2333029,4/4/2017 18:47,,,,,,,,,,,
1491331626,18,40.0988301,-88.233312,4/4/2017 18:47,,,,,,,,,,,
1491331627,11,40.0988301,-88.233312,4/4/2017 18:47,,,,,,,,,,,
1491331628,7,40.0990847,-88.2333175,4/4/2017 18:47,,,,,,,,,,,
1491331629,15,40.0992033,-88.2333275,4/4/2017 18:47,,,,,,,,,,,
1491331630,9,40.0993308,-88.2333281,4/4/2017 18:47,,,,,,,,,,,
1491331631,17,40.0993308,-88.2333281,4/4/2017 18:47,,,,,,,,,,,
1491331632,22,40.0995762,-88.2333255,4/4/2017 18:47,,,,,,,,,,,
1491331633,9,40.0995762,-88.2333255,4/4/2017 18:47,,,,,,,,,,,
1491331634,14,40.0998064,-88.2333483,4/4/2017 18:47,,,,,,,,,,,
