time,gc,lat,lon,date
1486489740,43,40.111976,-88.2267081,2/7/2017 17:49
1486489741,42,40.1119479,-88.2267241,2/7/2017 17:49
1486489742,43,40.1119479,-88.2267241,2/7/2017 17:49
1486489743,23,40.1119158,-88.2267288,2/7/2017 17:49
1487623285,38,40.1119782,-88.2267559,2/20/2017 20:41
1487623286,30,40.1119587,-88.2267601,2/20/2017 20:41
1487623287,32,40.1119357,-88.2267638,2/20/2017 20:41
1487623288,40,40.1119357,-88.2267638,2/20/2017 20:41
1487867247,50,40.1119067,-88.2267867,2/23/2017 16:27
1487867249,39,40.1119067,-88.2267867,2/23/2017 16:27
1487867250,44,40.1119209,-88.2268021,2/23/2017 16:27
1487867251,38,40.1119301,-88.2268138,2/23/2017 16:27
1487867252,51,40.1119361,-88.2268233,2/23/2017 16:27
1487867253,44,40.1119361,-88.2268233,2/23/2017 16:27
1490643649,37,40.1119147,-88.2268242,3/27/2017 19:40
1490815434,30,40.1119458,-88.226839,3/29/2017 19:23
1490815435,41,40.1119379,-88.226829,3/29/2017 19:23
1490815436,42,40.1119379,-88.226829,3/29/2017 19:23
1490815437,55,40.1119245,-88.2268132,3/29/2017 19:23
1490815438,61,40.1119245,-88.2268132,3/29/2017 19:23
1490815439,48,40.1119093,-88.2267901,3/29/2017 19:23
1490815441,49,40.1119002,-88.2267791,3/29/2017 19:24
1491319909,38,40.1119315,-88.2268363,4/4/2017 15:31
1491319910,39,40.1119315,-88.2268363,4/4/2017 15:31
1491319911,44,40.1119102,-88.2268063,4/4/2017 15:31
1491319912,42,40.1119102,-88.2268063,4/4/2017 15:31
1486417416,43,40.1119995,-88.2267364,2/6/2017 21:43
1486417417,44,40.1119995,-88.2267364,2/6/2017 21:43
1486417418,37,40.1119766,-88.2267523,2/6/2017 21:43
1486417419,37,40.1119663,-88.2267593,2/6/2017 21:43
1486417420,51,40.1119572,-88.2267653,2/6/2017 21:43
1486417421,38,40.1119572,-88.2267653,2/6/2017 21:43
1486417422,42,40.1119351,-88.2267755,2/6/2017 21:43
1486417423,41,40.1119351,-88.2267755,2/6/2017 21:43
1486417424,37,40.1119116,-88.226781,2/6/2017 21:43
1486417425,37,40.1119116,-88.226781,2/6/2017 21:43
