time,gc,lat,lon,date
1486172435,14,42.0441643,-88.0312348,2/4/2017 1:40
1486172436,20,42.0441643,-88.0312348,2/4/2017 1:40
1486172437,13,42.0439198,-88.0312981,2/4/2017 1:40
1486172438,6,42.0438051,-88.0313192,2/4/2017 1:40
1486172439,15,42.0438051,-88.0313192,2/4/2017 1:40
1486349962,14,40.5686692,-88.9041382,2/6/2017 2:59
1486349963,23,40.5684871,-88.9044633,2/6/2017 2:59
1486349964,17,40.5682838,-88.9047643,2/6/2017 2:59
1486349965,10,40.5682838,-88.9047643,2/6/2017 2:59
1486349966,13,40.5678687,-88.9052929,2/6/2017 2:59
1486349967,15,40.5678687,-88.9052929,2/6/2017 2:59
1486349968,13,40.5675812,-88.9058468,2/6/2017 2:59
1486349970,21,40.5675812,-88.9058468,2/6/2017 2:59
1486349971,15,40.567174,-88.9063549,2/6/2017 2:59
1486349972,14,40.5669993,-88.9065335,2/6/2017 2:59
1486349973,18,40.5669993,-88.9065335,2/6/2017 2:59
1486349974,17,40.566548,-88.9070004,2/6/2017 2:59
1486349975,25,40.566308,-88.9071899,2/6/2017 2:59
1486349976,15,40.566308,-88.9071899,2/6/2017 2:59
1486349977,12,40.5658115,-88.9075673,2/6/2017 2:59
1486349978,13,40.5655526,-88.9077435,2/6/2017 2:59
1486349979,28,40.5652963,-88.9078982,2/6/2017 2:59
1486349980,15,40.5652963,-88.9078982,2/6/2017 2:59
1486349981,16,40.5647489,-88.9081863,2/6/2017 2:59
1486349982,14,40.5647489,-88.9081863,2/6/2017 2:59
1486349983,15,40.5641989,-88.9084168,2/6/2017 2:59
1486349984,16,40.5641989,-88.9084168,2/6/2017 2:59
1486349985,28,40.5636229,-88.9085781,2/6/2017 2:59
1486349986,27,40.5636229,-88.9085781,2/6/2017 2:59
1486349987,15,40.5627711,-88.908763,2/6/2017 2:59
1486349988,9,40.5627711,-88.908763,2/6/2017 2:59
1486349989,13,40.5621966,-88.9088795,2/6/2017 2:59
1486349990,12,40.5621966,-88.9088795,2/6/2017 2:59
1486349991,14,40.5616051,-88.9090093,2/6/2017 2:59
1486349992,17,40.5616051,-88.9090093,2/6/2017 2:59
1486349993,15,40.5610343,-88.9091312,2/6/2017 2:59
1486349994,18,40.5607574,-88.9091917,2/6/2017 2:59
1486349995,11,40.5607574,-88.9091917,2/6/2017 2:59
1486349996,17,40.5602009,-88.9093367,2/6/2017 2:59
1486349997,22,40.5602009,-88.9093367,2/6/2017 2:59
1486349998,17,40.5596523,-88.909499,2/6/2017 2:59
1486349999,13,40.5593724,-88.9095981,2/6/2017 2:59
1486350000,11,40.5593724,-88.9095981,2/6/2017 3:00
1486350001,15,40.5588495,-88.90983,2/6/2017 3:00
1486350002,8,40.5585919,-88.9099657,2/6/2017 3:00
1486350003,13,40.5583346,-88.9101097,2/6/2017 3:00
1486350004,8,40.5583346,-88.9101097,2/6/2017 3:00
1486350006,8,40.5578157,-88.9104462,2/6/2017 3:00
1486350010,8,40.5566429,-88.911553,2/6/2017 3:00
1486350011,8,40.5564176,-88.9118172,2/6/2017 3:00
1486350012,8,40.5564176,-88.9118172,2/6/2017 3:00
1486350014,8,40.5559965,-88.9123829,2/6/2017 3:00
1486350015,8,40.5559965,-88.9123829,2/6/2017 3:00
1486350016,8,40.5556123,-88.9129548,2/6/2017 3:00
1486350017,8,40.5554218,-88.9132608,2/6/2017 3:00
1486350018,8,40.5552477,-88.9135514,2/6/2017 3:00
1486350019,8,40.5550522,-88.9138407,2/6/2017 3:00
1486350020,8,40.5549022,-88.9141512,2/6/2017 3:00
1486350021,8,40.5545765,-88.9147662,2/6/2017 3:00
1486350022,8,40.5545765,-88.9147662,2/6/2017 3:00
1486350023,8,40.5542255,-88.9153527,2/6/2017 3:00
1486350024,8,40.5542255,-88.9153527,2/6/2017 3:00
1486350025,8,40.5538736,-88.9159126,2/6/2017 3:00
1486350026,8,40.5538736,-88.9159126,2/6/2017 3:00
1486350027,8,40.5535262,-88.9165213,2/6/2017 3:00
1486350028,8,40.5535262,-88.9165213,2/6/2017 3:00
1486350029,8,40.5531047,-88.9170974,2/6/2017 3:00
1486350031,8,40.5529351,-88.9174044,2/6/2017 3:00
1486350032,8,40.5527363,-88.9177053,2/6/2017 3:00
1486350033,8,40.5525273,-88.9179997,2/6/2017 3:00
1486350034,8,40.5523245,-88.9182845,2/6/2017 3:00
1486350035,8,40.5523245,-88.9182845,2/6/2017 3:00
1486350036,8,40.551945,-88.9188666,2/6/2017 3:00
1486350037,8,40.5517601,-88.9191567,2/6/2017 3:00
1486350038,8,40.5517601,-88.9191567,2/6/2017 3:00
1486350039,8,40.5511651,-88.9200276,2/6/2017 3:00
1486350040,8,40.5509886,-88.9203017,2/6/2017 3:00
1486350041,8,40.5509886,-88.9203017,2/6/2017 3:00
1486350042,8,40.5507958,-88.9205923,2/6/2017 3:00
1486350043,8,40.5504136,-88.9211703,2/6/2017 3:00
1486350044,8,40.5504136,-88.9211703,2/6/2017 3:00
1486324234,32,40.1025106,-88.238047,2/5/2017 19:50
1486324235,32,40.1025106,-88.238047,2/5/2017 19:50
1486324236,32,40.1025106,-88.238047,2/5/2017 19:50
1486324237,32,40.1025106,-88.238047,2/5/2017 19:50
1486391029,34,40.1027826,-88.2387217,2/6/2017 14:23
1486391030,33,40.1027264,-88.2387014,2/6/2017 14:23
1486391031,21,40.1027264,-88.2387014,2/6/2017 14:23
1486391032,33,40.1026573,-88.2386745,2/6/2017 14:23
1486391033,24,40.1026573,-88.2386745,2/6/2017 14:23
1486391034,32,40.1026228,-88.2386544,2/6/2017 14:23
1486391035,37,40.102607,-88.2386461,2/6/2017 14:23
1486391036,29,40.102607,-88.2386461,2/6/2017 14:23
1486391037,29,40.1025932,-88.2386322,2/6/2017 14:23
1486391038,29,40.1025932,-88.2386322,2/6/2017 14:23
1486391040,26,40.1025932,-88.2386322,2/6/2017 14:24
1486391041,38,40.1025932,-88.2386322,2/6/2017 14:24
1486391042,31,40.1026023,-88.2386341,2/6/2017 14:24
1486391043,31,40.1026023,-88.2386341,2/6/2017 14:24
1486391044,34,40.1026023,-88.2386341,2/6/2017 14:24
1486391045,35,40.1026023,-88.2386341,2/6/2017 14:24
1486391046,31,40.1026023,-88.2386341,2/6/2017 14:24
1486391047,37,40.1026023,-88.2386341,2/6/2017 14:24
1486391048,22,40.1026023,-88.2386341,2/6/2017 14:24
1486391049,29,40.1026023,-88.2386341,2/6/2017 14:24
1486391050,32,40.1026023,-88.2386341,2/6/2017 14:24
1486391051,34,40.1026023,-88.2386341,2/6/2017 14:24
1486391052,27,40.1026023,-88.2386341,2/6/2017 14:24
1486391053,29,40.1026023,-88.2386341,2/6/2017 14:24
1486391054,35,40.1026023,-88.2386341,2/6/2017 14:24
1486391055,30,40.1026023,-88.2386341,2/6/2017 14:24
1486391057,33,40.1026023,-88.2386341,2/6/2017 14:24
1486391058,34,40.1026023,-88.2386341,2/6/2017 14:24
1486391059,19,40.1026023,-88.2386341,2/6/2017 14:24
1486391060,41,40.1026023,-88.2386341,2/6/2017 14:24
1486391061,33,40.1026023,-88.2386341,2/6/2017 14:24
1486391062,27,40.1026023,-88.2386341,2/6/2017 14:24
1486391063,31,40.1026023,-88.2386218,2/6/2017 14:24
1486391064,38,40.1026023,-88.2386218,2/6/2017 14:24
1486391065,33,40.1026023,-88.2386218,2/6/2017 14:24
1486391066,36,40.1026023,-88.2386218,2/6/2017 14:24
1486391067,30,40.1026023,-88.2386218,2/6/2017 14:24
1486391068,36,40.1026023,-88.2386218,2/6/2017 14:24
1486391069,22,40.1026023,-88.2386218,2/6/2017 14:24
1486391070,24,40.1026023,-88.2386218,2/6/2017 14:24
1486391071,32,40.1026023,-88.2386218,2/6/2017 14:24
1486391072,37,40.1026023,-88.2386218,2/6/2017 14:24
1486391073,37,40.1026023,-88.2386218,2/6/2017 14:24
1486391074,31,40.1026023,-88.2386218,2/6/2017 14:24
1486391076,40,40.1026023,-88.2386218,2/6/2017 14:24
1486391077,32,40.1026023,-88.2386218,2/6/2017 14:24
1486391078,31,40.1026023,-88.2386218,2/6/2017 14:24
1486391079,30,40.1026023,-88.2386218,2/6/2017 14:24
1486391080,35,40.1026023,-88.2386218,2/6/2017 14:24
1486391081,41,40.1026023,-88.2386218,2/6/2017 14:24
1486391082,36,40.102593,-88.2386162,2/6/2017 14:24
1486391083,40,40.1025849,-88.2386108,2/6/2017 14:24
1486391084,25,40.1025849,-88.2386108,2/6/2017 14:24
1486391085,39,40.1025849,-88.2386108,2/6/2017 14:24
1486391086,26,40.1025849,-88.2386108,2/6/2017 14:24
1486391087,25,40.102592,-88.2386193,2/6/2017 14:24
1486391088,31,40.102592,-88.2386193,2/6/2017 14:24
1486391089,36,40.1025981,-88.2386293,2/6/2017 14:24
1486391090,29,40.1025981,-88.2386293,2/6/2017 14:24
1486391091,32,40.1025981,-88.2386293,2/6/2017 14:24
1486391093,33,40.1025981,-88.2386293,2/6/2017 14:24
1486391094,32,40.1025981,-88.2386293,2/6/2017 14:24
1486391095,32,40.1025981,-88.2386293,2/6/2017 14:24
1486391096,37,40.1025981,-88.2386293,2/6/2017 14:24
1486391097,33,40.1025981,-88.2386293,2/6/2017 14:24
1486391098,32,40.1025981,-88.2386293,2/6/2017 14:24
1486391099,35,40.1025981,-88.2386293,2/6/2017 14:24
1486391100,34,40.1025981,-88.2386293,2/6/2017 14:25
1486391101,29,40.1025981,-88.2386293,2/6/2017 14:25
1486391102,28,40.1025981,-88.2386293,2/6/2017 14:25
1486391103,31,40.1025981,-88.2386293,2/6/2017 14:25
1486391104,30,40.1025981,-88.2386293,2/6/2017 14:25
1486391105,38,40.1025981,-88.2386293,2/6/2017 14:25
1486391106,38,40.1025981,-88.2386293,2/6/2017 14:25
1486391107,32,40.1025981,-88.2386293,2/6/2017 14:25
1486391109,21,40.1025981,-88.2386293,2/6/2017 14:25
1486391110,35,40.1025981,-88.2386293,2/6/2017 14:25
1486391111,32,40.1025981,-88.2386293,2/6/2017 14:25
1486391112,31,40.1025981,-88.2386293,2/6/2017 14:25
1486391113,27,40.1025981,-88.2386293,2/6/2017 14:25
1486391114,42,40.1025981,-88.2386293,2/6/2017 14:25
1486391115,32,40.1025981,-88.2386293,2/6/2017 14:25
1486391116,26,40.1025981,-88.2386293,2/6/2017 14:25
1486391117,37,40.1025981,-88.2386293,2/6/2017 14:25
1486391118,21,40.1025981,-88.2386293,2/6/2017 14:25
1486391119,30,40.1025981,-88.2386293,2/6/2017 14:25
1486391120,26,40.1025981,-88.2386293,2/6/2017 14:25
1486391121,39,40.1025981,-88.2386293,2/6/2017 14:25
1486391122,37,40.1025981,-88.2386293,2/6/2017 14:25
1486391123,28,40.1025981,-88.2386293,2/6/2017 14:25
1486391124,24,40.1025981,-88.2386293,2/6/2017 14:25
1486391125,36,40.1025981,-88.2386293,2/6/2017 14:25
1486391126,42,40.1025981,-88.2386293,2/6/2017 14:25
1486391127,26,40.1025981,-88.2386293,2/6/2017 14:25
1486391129,32,40.1025981,-88.2386293,2/6/2017 14:25
1486391130,36,40.1025981,-88.2386293,2/6/2017 14:25
1486391131,39,40.1025981,-88.2386293,2/6/2017 14:25
1486391132,26,40.1025981,-88.2386293,2/6/2017 14:25
1486391133,31,40.1025981,-88.2386293,2/6/2017 14:25
1486391134,29,40.1025981,-88.2386293,2/6/2017 14:25
1486391135,30,40.1025981,-88.2386293,2/6/2017 14:25
1486391136,32,40.1025981,-88.2386293,2/6/2017 14:25
1486391137,34,40.1025981,-88.2386293,2/6/2017 14:25
1486391138,31,40.1025981,-88.2386293,2/6/2017 14:25
1486391140,36,40.1025981,-88.2386293,2/6/2017 14:25
1486391141,35,40.1025981,-88.2386293,2/6/2017 14:25
1486391142,36,40.1025981,-88.2386293,2/6/2017 14:25
1486391143,22,40.1025981,-88.2386293,2/6/2017 14:25
1486391144,29,40.1025981,-88.2386293,2/6/2017 14:25
1486391145,37,40.1025981,-88.2386293,2/6/2017 14:25
1486391146,32,40.1025981,-88.2386293,2/6/2017 14:25
1486391147,24,40.1025981,-88.2386293,2/6/2017 14:25
1486391148,24,40.1025981,-88.2386293,2/6/2017 14:25
1486391149,31,40.1025981,-88.2386293,2/6/2017 14:25
1486391150,35,40.1025981,-88.2386293,2/6/2017 14:25
1486391151,35,40.1025981,-88.2386293,2/6/2017 14:25
1486391152,31,40.1025981,-88.2386293,2/6/2017 14:25
1486391153,26,40.1025981,-88.2386293,2/6/2017 14:25
1486391154,40,40.1025981,-88.2386293,2/6/2017 14:25
1486391156,32,40.1025981,-88.2386293,2/6/2017 14:25
1486391157,30,40.1025981,-88.2386293,2/6/2017 14:25
1486391158,32,40.1025981,-88.2386293,2/6/2017 14:25
1486391159,36,40.1025981,-88.2386293,2/6/2017 14:25
1486391160,29,40.1025981,-88.2386293,2/6/2017 14:26
1486391161,37,40.1025981,-88.2386293,2/6/2017 14:26
1486391162,29,40.1025981,-88.2386293,2/6/2017 14:26
1486391163,28,40.1025981,-88.2386293,2/6/2017 14:26
1486391164,25,40.1025981,-88.2386293,2/6/2017 14:26
