time,gc,lat,lon,date
1484760712,42,40.1098921,-88.2284965,1/18/2017 17:31
1484760713,58,40.1098921,-88.2284965,1/18/2017 17:31
1484760714,53,40.1098853,-88.2284694,1/18/2017 17:31
1484760715,55,40.1098853,-88.2284694,1/18/2017 17:31
1484760716,56,40.1098753,-88.2284396,1/18/2017 17:31
1484760717,68,40.109868,-88.2284267,1/18/2017 17:31
1484760718,45,40.109868,-88.2284267,1/18/2017 17:31
1484760719,46,40.1098572,-88.2284016,1/18/2017 17:31
1484760720,49,40.1098572,-88.2284016,1/18/2017 17:32
1484760721,49,40.1098542,-88.228375,1/18/2017 17:32
1484760722,42,40.1098542,-88.228375,1/18/2017 17:32
1484760723,38,40.1098478,-88.2283526,1/18/2017 17:32
1484760724,35,40.1098478,-88.2283526,1/18/2017 17:32
1484760725,23,40.1098478,-88.2283247,1/18/2017 17:32
1484760726,26,40.1098478,-88.2283247,1/18/2017 17:32
1484760727,39,40.109847,-88.2282973,1/18/2017 17:32
1484760728,24,40.1098461,-88.228283,1/18/2017 17:32
1484760729,38,40.1098461,-88.228283,1/18/2017 17:32
1486418020,31,40.1099422,-88.2282774,2/6/2017 21:53
1486418021,35,40.1099422,-88.2282774,2/6/2017 21:53
1486418022,49,40.1099315,-88.2283085,2/6/2017 21:53
1486418024,55,40.1099315,-88.2283085,2/6/2017 21:53
1486418025,50,40.1099167,-88.2283409,2/6/2017 21:53
1486418026,68,40.1099167,-88.2283409,2/6/2017 21:53
1486418027,58,40.1099048,-88.2283606,2/6/2017 21:53
1486418028,76,40.1098992,-88.2283727,2/6/2017 21:53
1486418029,65,40.1098992,-88.2283727,2/6/2017 21:53
1486418030,53,40.1098936,-88.2283951,2/6/2017 21:53
1486418031,68,40.1098936,-88.2283951,2/6/2017 21:53
1486418032,66,40.1098931,-88.2284209,2/6/2017 21:53
1486418033,56,40.1098978,-88.2284344,2/6/2017 21:53
1486418034,53,40.1099054,-88.2284442,2/6/2017 21:53
1486418035,68,40.1099054,-88.2284442,2/6/2017 21:53
1486418036,58,40.109923,-88.2284531,2/6/2017 21:53
1486418037,58,40.109923,-88.2284531,2/6/2017 21:53
1486418038,49,40.1099369,-88.2284448,2/6/2017 21:53
1486418039,57,40.1099369,-88.2284448,2/6/2017 21:53
1486418040,54,40.1099419,-88.2284325,2/6/2017 21:54
1486418041,59,40.1099419,-88.2284325,2/6/2017 21:54
1486418042,58,40.1099482,-88.2284231,2/6/2017 21:54
1486418043,22,40.1099658,-88.2284196,2/6/2017 21:54
1486418044,36,40.1099797,-88.2284247,2/6/2017 21:54
1486418045,37,40.1099797,-88.2284247,2/6/2017 21:54
1491405739,39,40.1098036,-88.2282958,4/5/2017 15:22
1491405740,31,40.1098126,-88.2283075,4/5/2017 15:22
1491405741,29,40.1098126,-88.2283075,4/5/2017 15:22
1491405742,29,40.1098361,-88.2283422,4/5/2017 15:22
1491405743,39,40.1098361,-88.2283422,4/5/2017 15:22
1491405744,40,40.109849,-88.2283795,4/5/2017 15:22
1491405745,54,40.1098539,-88.2283958,4/5/2017 15:22
1491405746,49,40.1098539,-88.2283958,4/5/2017 15:22
1491405747,47,40.1098711,-88.2284202,4/5/2017 15:22
1491405748,62,40.1098795,-88.2284283,4/5/2017 15:22
1491405749,81,40.1098795,-88.2284283,4/5/2017 15:22
1491405750,54,40.1098957,-88.2284421,4/5/2017 15:22
1491405751,60,40.1098957,-88.2284421,4/5/2017 15:22
1491405752,56,40.1099156,-88.2284567,4/5/2017 15:22
1491405753,63,40.1099156,-88.2284567,4/5/2017 15:22
1491405754,58,40.1099298,-88.228466,4/5/2017 15:22
1491405755,66,40.1099298,-88.228466,4/5/2017 15:22
1491405756,42,40.1099298,-88.228466,4/5/2017 15:22
1491405757,45,40.1099298,-88.228466,4/5/2017 15:22
1491405758,60,40.1099194,-88.2284602,4/5/2017 15:22
1491405759,65,40.1099194,-88.2284602,4/5/2017 15:22
1491405761,59,40.1099329,-88.228472,4/5/2017 15:22
1491405762,64,40.1099329,-88.228472,4/5/2017 15:22
1491405763,47,40.1099524,-88.2284971,4/5/2017 15:22
1491524077,24,40.1099026,-88.2284837,4/7/2017 0:14
1491524078,35,40.1099026,-88.2284837,4/7/2017 0:14
1491524079,36,40.109883,-88.2284673,4/7/2017 0:14
1491524080,34,40.1098737,-88.2284611,4/7/2017 0:14
1491524081,27,40.1098737,-88.2284611,4/7/2017 0:14
1491524082,27,40.1098594,-88.2284448,4/7/2017 0:14
1491524083,48,40.1098525,-88.2284355,4/7/2017 0:14
1491524084,42,40.1098525,-88.2284355,4/7/2017 0:14
1491524085,44,40.1098389,-88.2284268,4/7/2017 0:14
1491524086,44,40.1098389,-88.2284268,4/7/2017 0:14
1491524088,69,40.1098245,-88.2284137,4/7/2017 0:14
1491524090,34,40.1098096,-88.228388,4/7/2017 0:14
1491524092,45,40.109806,-88.228367,4/7/2017 0:14
1491524094,48,40.1098045,-88.2283282,4/7/2017 0:14
1491524095,46,40.1098045,-88.2283282,4/7/2017 0:14
1491524096,50,40.1098055,-88.2283063,4/7/2017 0:14
1491524107,26,40.1099269,-88.2284187,4/7/2017 0:15
1491524108,39,40.1099226,-88.2283404,4/7/2017 0:15
1491524109,30,40.109901,-88.2283155,4/7/2017 0:15
1491524110,29,40.109901,-88.2283155,4/7/2017 0:15
1491524111,37,40.109855,-88.2282859,4/7/2017 0:15
1491524112,27,40.109855,-88.2282859,4/7/2017 0:15
