time,gc,lat,lon,date
1478883336,57,40.1025037,-88.2272684,3/10/2017 16:55
1478883337,57,40.1025037,-88.2272684,3/10/2017 16:55
1478883338,56,40.1024995,-88.2272238,3/10/2017 16:55
1478883339,52,40.1024995,-88.2272238,3/10/2017 16:55
1478883340,61,40.1025036,-88.2271869,3/10/2017 16:55
1478883341,55,40.1025036,-88.2271869,3/10/2017 16:55
1478883342,50,40.1025069,-88.2271502,3/10/2017 16:55
1478883343,58,40.1025069,-88.2271502,3/10/2017 16:55
1478883344,55,40.1025136,-88.227102,3/10/2017 16:55
1478883345,52,40.1025136,-88.227102,3/10/2017 16:55
1478883346,50,40.1025189,-88.2270729,3/10/2017 16:55
1478883347,64,40.1025209,-88.227057,3/10/2017 16:55
1478883348,59,40.1025209,-88.227057,3/10/2017 16:55
