time,gc,lat,lon,date
1484664323,35,40.1110735,-88.2240856,1/17/2017 14:45
1484664324,31,40.1110735,-88.2240856,1/17/2017 14:45
1484664325,40,40.1110978,-88.2240848,1/17/2017 14:45
1484664326,30,40.1110978,-88.2240848,1/17/2017 14:45
1484664327,28,40.1111193,-88.224084,1/17/2017 14:45
1484664328,32,40.1111193,-88.224084,1/17/2017 14:45
1484664329,41,40.1111193,-88.224084,1/17/2017 14:45
1484664330,36,40.1111268,-88.2240737,1/17/2017 14:45
1484664331,34,40.1111268,-88.2240737,1/17/2017 14:45
1484664332,54,40.1111358,-88.2240659,1/17/2017 14:45
1484664334,45,40.1111358,-88.2240659,1/17/2017 14:45
1484664335,50,40.1111358,-88.2240659,1/17/2017 14:45
1484664336,55,40.1111358,-88.2240659,1/17/2017 14:45
1484664337,60,40.1111455,-88.2240579,1/17/2017 14:45
1484664338,52,40.1111701,-88.2240626,1/17/2017 14:45
1484664339,40,40.1111842,-88.2240608,1/17/2017 14:45
1484664340,52,40.1111842,-88.2240608,1/17/2017 14:45
1484664341,31,40.1112161,-88.2240555,1/17/2017 14:45
1484664342,36,40.1112343,-88.2240549,1/17/2017 14:45
1484664343,35,40.1112343,-88.2240549,1/17/2017 14:45
1484664344,42,40.1112758,-88.2240537,1/17/2017 14:45
1484664345,53,40.1112758,-88.2240537,1/17/2017 14:45
1484874754,39,40.1112702,-88.2240403,1/20/2017 1:12
1484874755,47,40.1112702,-88.2240403,1/20/2017 1:12
1485290637,39,40.1112888,-88.2240766,1/24/2017 20:43
1485290639,43,40.1112888,-88.2240766,1/24/2017 20:43
1485290640,48,40.1112603,-88.2240728,1/24/2017 20:44
1485290641,50,40.1112455,-88.2240726,1/24/2017 20:44
1485290642,53,40.1112455,-88.2240726,1/24/2017 20:44
1485290643,54,40.1112124,-88.2240745,1/24/2017 20:44
1485290644,61,40.1111974,-88.2240764,1/24/2017 20:44
1485290645,71,40.1111974,-88.2240764,1/24/2017 20:44
1485290646,74,40.111165,-88.2240782,1/24/2017 20:44
1485290647,51,40.1111518,-88.2240787,1/24/2017 20:44
1485290648,54,40.111139,-88.2240794,1/24/2017 20:44
1485290649,49,40.111139,-88.2240794,1/24/2017 20:44
1485290650,52,40.1111123,-88.2240786,1/24/2017 20:44
1485290651,48,40.1111123,-88.2240786,1/24/2017 20:44
1485290652,41,40.1110843,-88.2240775,1/24/2017 20:44
1485471325,38,40.1110827,-88.224049,1/26/2017 22:55
1485471326,43,40.1110975,-88.2240516,1/26/2017 22:55
1485471327,42,40.1110975,-88.2240516,1/26/2017 22:55
1485471328,47,40.1111241,-88.2240636,1/26/2017 22:55
1485471329,54,40.1111241,-88.2240636,1/26/2017 22:55
1485471330,53,40.1111463,-88.2240716,1/26/2017 22:55
1485471331,73,40.111157,-88.2240762,1/26/2017 22:55
1485471332,78,40.1111664,-88.2240832,1/26/2017 22:55
1485471333,106,40.1111664,-88.2240832,1/26/2017 22:55
1485471334,150,40.1111813,-88.224098,1/26/2017 22:55
1485471335,215,40.1111813,-88.224098,1/26/2017 22:55
1485471336,272,40.1111922,-88.2241044,1/26/2017 22:55
1485471337,480,40.1111922,-88.2241044,1/26/2017 22:55
1485471338,504,40.1111922,-88.2241044,1/26/2017 22:55
1485471339,507,40.1111922,-88.2241044,1/26/2017 22:55
1485471340,492,40.1111922,-88.2241044,1/26/2017 22:55
1485471341,458,40.1111922,-88.2241044,1/26/2017 22:55
1485471342,443,40.1111922,-88.2241044,1/26/2017 22:55
1485471343,341,40.1111922,-88.2241044,1/26/2017 22:55
1485471344,132,40.1111922,-88.2241044,1/26/2017 22:55
1485471345,111,40.1112057,-88.2240987,1/26/2017 22:55
1485471346,106,40.1112057,-88.2240987,1/26/2017 22:55
1485471347,115,40.1112057,-88.2240987,1/26/2017 22:55
1485471348,148,40.1112057,-88.2240987,1/26/2017 22:55
1485471349,168,40.1112057,-88.2240987,1/26/2017 22:55
1485471350,226,40.1112057,-88.2240987,1/26/2017 22:55
1485471352,176,40.1112057,-88.2240987,1/26/2017 22:55
1485471353,158,40.1112076,-88.2241154,1/26/2017 22:55
1485471354,109,40.1112076,-88.2241154,1/26/2017 22:55
1485471355,84,40.1112129,-88.2241275,1/26/2017 22:55
1485471356,59,40.1112129,-88.2241275,1/26/2017 22:55
1485471357,47,40.1112129,-88.2241275,1/26/2017 22:55
1485471358,48,40.1112069,-88.2241369,1/26/2017 22:55
1485471359,50,40.1112069,-88.2241369,1/26/2017 22:55
1485471360,40,40.1112069,-88.2241369,1/26/2017 22:56
1485471361,45,40.1112069,-88.2241369,1/26/2017 22:56
1485471362,37,40.1112069,-88.2241369,1/26/2017 22:56
1485471363,42,40.1112069,-88.2241369,1/26/2017 22:56
1485471364,52,40.1112069,-88.2241369,1/26/2017 22:56
1485471365,44,40.1112069,-88.2241369,1/26/2017 22:56
1485471366,41,40.1112098,-88.2241497,1/26/2017 22:56
1485471367,46,40.1112098,-88.2241497,1/26/2017 22:56
1485471368,37,40.1112151,-88.224168,1/26/2017 22:56
1485471369,45,40.1112151,-88.224168,1/26/2017 22:56
1485471370,55,40.1112189,-88.2241889,1/26/2017 22:56
