time,gc,lat,lon,date
1486158844,74,40.1120564,-88.2285076,2/3/2017 21:54
1486158845,68,40.1120564,-88.2285076,2/3/2017 21:54
1486158846,71,40.1120564,-88.2285076,2/3/2017 21:54
1486158847,71,40.1120564,-88.2285076,2/3/2017 21:54
1486158848,56,40.1120564,-88.2285076,2/3/2017 21:54
1486158850,88,40.1120564,-88.2285076,2/3/2017 21:54
1486158851,72,40.1120564,-88.2285076,2/3/2017 21:54
1486158853,60,40.1120564,-88.2285076,2/3/2017 21:54
1486158854,65,40.1120564,-88.2285076,2/3/2017 21:54
1486158855,64,40.1120564,-88.2285076,2/3/2017 21:54
1486158856,67,40.1120564,-88.2285076,2/3/2017 21:54
1486158858,69,40.1120564,-88.2285076,2/3/2017 21:54
1486158859,71,40.1120564,-88.2285076,2/3/2017 21:54
1486158860,62,40.1120564,-88.2285076,2/3/2017 21:54
1486158861,69,40.1120564,-88.2285076,2/3/2017 21:54
1486158862,57,40.1120564,-88.2285076,2/3/2017 21:54
1486158863,70,40.1120564,-88.2285076,2/3/2017 21:54
1486159063,74,40.1120564,-88.2285076,2/3/2017 21:57
1486159064,73,40.1120564,-88.2285076,2/3/2017 21:57
1486159065,67,40.1120564,-88.2285076,2/3/2017 21:57
1486159066,66,40.1120564,-88.2285076,2/3/2017 21:57
1486159067,56,40.1120564,-88.2285076,2/3/2017 21:57
1486159143,71,40.1120564,-88.2285076,2/3/2017 21:59
1486159147,75,40.1120564,-88.2285076,2/3/2017 21:59
1486159148,63,40.1120564,-88.2285076,2/3/2017 21:59
1486159149,69,40.1120564,-88.2285076,2/3/2017 21:59
1486159193,55,40.1120564,-88.2285076,2/3/2017 21:59
1486159194,65,40.1120564,-88.2285076,2/3/2017 21:59
1486159195,76,40.1120564,-88.2285076,2/3/2017 21:59
1486159196,80,40.1120564,-88.2285076,2/3/2017 21:59
1486159197,78,40.1120564,-88.2285076,2/3/2017 21:59
1486159198,69,40.1120564,-88.2285076,2/3/2017 21:59
1486159199,62,40.1120564,-88.2285076,2/3/2017 21:59
1486159200,67,40.1120564,-88.2285076,2/3/2017 22:00
1486159201,65,40.1120564,-88.2285076,2/3/2017 22:00
1486159202,76,40.1120564,-88.2285076,2/3/2017 22:00
1486159150,63,40.1120564,-88.2285076,2/3/2017 21:59
1486159151,75,40.1120564,-88.2285076,2/3/2017 21:59
1486159152,71,40.1120564,-88.2285076,2/3/2017 21:59
1486159068,57,40.1120564,-88.2285076,2/3/2017 21:57
1486159069,76,40.1120564,-88.2285076,2/3/2017 21:57
1486159071,74,40.1120564,-88.2285076,2/3/2017 21:57
1486159072,67,40.1120564,-88.2285076,2/3/2017 21:57
